utc_timestamp,cet_cest_timestamp,DE_COP_ASHP_floor,DE_COP_ASHP_radiator,DE_COP_ASHP_water,DE_COP_GSHP_floor,DE_COP_GSHP_radiator,DE_COP_GSHP_water,DE_heat_demand_space,DE_heat_demand_total,DE_heat_demand_water
2007-12-31T22:00:00Z,2007-12-31T23:00:00+0100,3.1,2.57,2.15,4.06,3.14,2.49,91867,95296,3429
2007-12-31T23:00:00Z,2008-01-01T00:00:00+0100,3.1,2.57,2.15,4.06,3.14,2.49,91867,95296,3429
2008-01-01T00:00:00Z,2008-01-01T01:00:00+0100,3.09,2.56,2.14,4.04,3.13,2.48,94072,98086,4015
2008-01-01T01:00:00Z,2008-01-01T02:00:00+0100,3.08,2.55,2.14,4.02,3.11,2.47,96511,100454,3944
2008-01-01T02:00:00Z,2008-01-01T03:00:00+0100,3.08,2.55,2.14,4,3.09,2.46,102811,107183,4372
2008-01-01T03:00:00Z,2008-01-01T04:00:00+0100,3.07,2.54,2.13,3.99,3.08,2.46,113490,120688,7199
2008-01-01T04:00:00Z,2008-01-01T05:00:00+0100,3.06,2.53,2.13,3.97,3.06,2.45,144026,158569,14543
2008-01-01T05:00:00Z,2008-01-01T06:00:00+0100,3.05,2.52,2.13,3.96,3.05,2.45,168790,187503,18713
2008-01-01T06:00:00Z,2008-01-01T07:00:00+0100,3.04,2.51,2.12,3.95,3.04,2.45,163752,181494,17742
2008-01-01T07:00:00Z,2008-01-01T08:00:00+0100,3.04,2.51,2.12,3.94,3.03,2.44,167031,180836,13805
2008-01-01T08:00:00Z,2008-01-01T09:00:00+0100,3.05,2.52,2.13,3.92,3.02,2.43,160480,173709,13229
2008-01-01T09:00:00Z,2008-01-01T10:00:00+0100,3.08,2.55,2.14,3.94,3.04,2.43,153977,166374,12397
2008-01-01T10:00:00Z,2008-01-01T11:00:00+0100,3.1,2.57,2.15,3.94,3.06,2.43,147560,159706,12146
2008-01-01T11:00:00Z,2008-01-01T12:00:00+0100,3.12,2.59,2.16,3.95,3.07,2.43,143981,155715,11734
2008-01-01T12:00:00Z,2008-01-01T13:00:00+0100,3.12,2.6,2.16,3.96,3.08,2.43,144325,154019,9694
2008-01-01T13:00:00Z,2008-01-01T14:00:00+0100,3.12,2.59,2.16,3.97,3.09,2.44,146425,155666,9241
2008-01-01T14:00:00Z,2008-01-01T15:00:00+0100,3.09,2.57,2.15,3.98,3.08,2.45,149675,158124,8449
2008-01-01T15:00:00Z,2008-01-01T16:00:00+0100,3.06,2.53,2.13,3.97,3.06,2.45,154836,163667,8832
